[13:16 - 03-08-2024 ] | INFO _log | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[13:16 - 03-08-2024 ] | INFO _log | [33mPress CTRL+C to quit[0m
[13:16 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:16 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:16 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:20 - 03-08-2024 ] | INFO _log | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[13:20 - 03-08-2024 ] | INFO _log | [33mPress CTRL+C to quit[0m
[13:20 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:20 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:20 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:30 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:30 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:30 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:30 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:30 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:30 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:30 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:30 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:37 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:37 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:37 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:37 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:40 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:40 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:40 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:40 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:41 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:41 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:41 - 03-08-2024 ] | INFO <module> | Starting app...
[13:41 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
[13:41 - 03-08-2024 ] | INFO _log |  * Debugger PIN: 888-831-260
[13:41 - 03-08-2024 ] | INFO _log |  * Detected change in '/home/subeen/subeenfiles/code/OneFile/backend/server.py', reloading
[13:41 - 03-08-2024 ] | INFO _log |  * Restarting with stat
[13:41 - 03-08-2024 ] | INFO main | Starting app...
[13:41 - 03-08-2024 ] | WARNING _log |  * Debugger is active!
